Country Name,Country Code,Series Name,Series Code,GDP per capita
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3853.08369288942
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,19896.4957043824
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,11611.4154473966
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,7463.53783093423
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,441.505603374484
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,6854.90656148409
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51610.0660552202
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,81993.7271494202
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,870.787589323223
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1122.12181047515
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7808.19291629949
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1294.18893388776
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,675.542213340634
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,17276.4654468225
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3317.54101348345
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9042.49298288882
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,4059.02999569444
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,776.768575885308
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3659.03131229487
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,43103.3230583165
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,42300.267125825
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65118.3583328163
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,16190.1269572827
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1724.8411344137
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3058.0656752208
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2715.27603640721
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1291.34335737364
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1463.98591018054
